Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
super-stock-ps5,Super Stock Build (PS5),"<p>Entry-level ZeroStick build. Genuine DualSense base upgraded with drift-resistant thumbsticks — the biggest quality-of-life upgrade with the simplest build. Backed by our 5-year stick warranty.</p>",ZeroStick,,PS5 Controller,"PS5,Quick Pick,Drift-Resistant",TRUE,Color,Black,ZS-SS-PS5-BLK,shopify,25,deny,manual,129.00,,TRUE,TRUE,active
super-stock-ps5,,,ZeroStick,,PS5 Controller,,TRUE,Color,White,ZS-SS-PS5-WHT,shopify,25,deny,manual,129.00,,TRUE,TRUE,active
fps-build-ps5,FPS Build (PS5),"<p>The full competitive FPS setup. Smart Triggers, Smart Bumpers, two Rear Buttons, and drift-resistant sticks on a genuine DualSense base. Tuned for fast-paced shooters where milliseconds matter. 5-year stick warranty.</p>",ZeroStick,,PS5 Controller,"PS5,Quick Pick,Smart Buttons",TRUE,Color,Black,ZS-FPS-PS5-BLK,shopify,25,deny,manual,209.00,,TRUE,TRUE,active
fps-build-ps5,,,ZeroStick,,PS5 Controller,,TRUE,Color,White,ZS-FPS-PS5-WHT,shopify,25,deny,manual,209.00,,TRUE,TRUE,active
fps-build-ps5,,,ZeroStick,,PS5 Controller,,TRUE,Color,ZeroStick Blue,ZS-FPS-PS5-BLU,shopify,25,deny,manual,209.00,,TRUE,TRUE,active
smart-build-ps5,Smart Build (PS5),"<p>Every input upgraded. Smart Triggers, Smart Bumpers, Smart Face Buttons, Smart D-Pad, Rear Buttons, and drift-resistant sticks — the pinnacle of ZeroStick performance. 5-year stick warranty.</p>",ZeroStick,,PS5 Controller,"PS5,Quick Pick,Smart Buttons",TRUE,Color,Black,ZS-SMART-PS5-BLK,shopify,25,deny,manual,279.00,,TRUE,TRUE,active
smart-build-ps5,,,ZeroStick,,PS5 Controller,,TRUE,Color,White,ZS-SMART-PS5-WHT,shopify,25,deny,manual,279.00,,TRUE,TRUE,active
tmr-module-dualsense-edge,TMR Module — DualSense Edge,"<p>TMR hall-effect replacement joystick module for the DualSense Edge. Magnetic sensing, zero wear, zero drift — calibrated out of the box. 0 latency vs stock modules, 50 million+ cycle lifespan.</p>",ZeroStick,,Controller Module,"Module,TMR,DualSense Edge",TRUE,Pack,Single Module,ZS-TMR-DSE-1,shopify,100,deny,manual,39.99,,TRUE,TRUE,active
tmr-module-dualsense-edge,,,ZeroStick,,Controller Module,,TRUE,Pack,Pair (2 Modules),ZS-TMR-DSE-2,shopify,100,deny,manual,74.99,,TRUE,TRUE,active
tmr-module-ps5,TMR Module — PS5 DualSense,"<p>TMR hall-effect replacement stick module for the standard PS5 DualSense. Drift-free magnetic sensing built to outlast the controller itself.</p>",ZeroStick,,Controller Module,"Module,TMR,PS5",TRUE,Pack,Single Module,ZS-TMR-PS5-1,shopify,100,deny,manual,34.99,,TRUE,TRUE,active
tmr-module-ps5,,,ZeroStick,,Controller Module,,TRUE,Pack,Pair (2 Modules),ZS-TMR-PS5-2,shopify,100,deny,manual,64.99,,TRUE,TRUE,active
prebuilt-white-fps,Pre-Built — White FPS Build,"<p>Ready-to-ship. White shell with Smart Triggers, Smart Bumpers, Rear Buttons, and drift-resistant sticks. Ships in 1–2 business days. 5-year stick warranty.</p>",ZeroStick,,PS5 Controller,"PS5,Pre-Built,In Stock",TRUE,Title,Default Title,ZS-PB-WFPS,shopify,8,deny,manual,209.00,,TRUE,TRUE,active
prebuilt-midnight-fps,Pre-Built — Midnight FPS Build,"<p>Ready-to-ship. Black shell with Smart Triggers, Smart Bumpers, Rear Buttons, and drift-resistant sticks. Ships in 1–2 business days. 5-year stick warranty.</p>",ZeroStick,,PS5 Controller,"PS5,Pre-Built,In Stock",TRUE,Title,Default Title,ZS-PB-MFPS,shopify,8,deny,manual,209.00,,TRUE,TRUE,active
prebuilt-blue-smart,Pre-Built — Blue Smart Build,"<p>Limited ready-to-ship build. ZeroStick blue shell with the full Smart suite, Rear Buttons, and drift-resistant sticks. 5-year stick warranty.</p>",ZeroStick,,PS5 Controller,"PS5,Pre-Built,Limited",TRUE,Title,Default Title,ZS-PB-BSMART,shopify,5,deny,manual,289.00,,TRUE,TRUE,active
switch-pro-driftfree,Switch Pro — Drift-Free,"<p>Genuine Nintendo Switch Pro controller with drift-resistant stick upgrades. Built for Smash and every competitive Switch title. 5-year stick warranty.</p>",ZeroStick,,Switch Controller,"Switch Pro,Drift-Resistant",TRUE,Title,Default Title,ZS-SWPRO,shopify,15,deny,manual,159.00,,TRUE,TRUE,active
gamecube-phob,GameCube — Phob Drift-Free,"<p>Genuine GameCube controller upgraded with a PhobGCC board — hall-effect sensing, drift-free, calibration built in. Tournament-ready.</p>",ZeroStick,,GameCube Controller,"GameCube,Drift-Resistant",TRUE,Title,Default Title,ZS-GC-PHOB,shopify,10,deny,manual,179.00,,TRUE,TRUE,active
